10/10/09 - Comstock Room @ Earlham College - 801 Rational Road West - Richmond, IN

10/21/09 - Mercury Lounge - 217 E Houston St - New York, NY

10/24/09 - Knitting Factory - 361 Metropolitan Ave - Brooklyn, NY

10/24/09 - Above the Auto Parts Store - 600 Bushwick Ave - Brooklyn, NY

11/21/09 - Asbury Lanes - 209 4th Ave - Asbury Park, NJ

11/25/09 - Bell House - 149 7th St - Brooklyn, NY

11/28/09 - Johnny Brenda's - 1201 Frankford Ave - Philadelphia, PA

12/05/09 - The Summit - 2210 Summit St - Columbus, OH

12/06/09 - Riviera Theater - 4746 N Racine Ave - Chicago, IL

12/07/09 - Mr Smalls Funhouse - 400 Lincoln Ave - Millvale, PA

12/08/09 - 9:30 - 815 V St NW - Washington, DC

12/10/09 - Terminal 5 - 610 W 56th St - New York, NY

12/11/09 - Terminal 5 - 610 W 56th St - New York, NY

12/13/09 - House of Blues - 15 Lansdowne St - Boston, MA

12/29/09 - Stone Pony - 913 Ocean Ave - Asbury Park, NJ

12/31/09 - Cake Shop - 152 Ludlow St - New York, NY

02/06/10 - Bowery Ballroom - 6 Delancey St - New York, NY

02/07/10 - Black Cat Backstage - 1811 14th St - Washington, DC

02/08/10 - Static Age Records - 82-A N Lexington Ave - Asheville, NC

02/09/10 - Caledonia Lounge - 256 W Clayton St - Athens, GA

02/10/10 - The Atlantic - 15 N Main St - Gainesville, FL

02/11/10 - Club Downunder - 600 W College Ave - Tallahassee, FL

02/12/10 - Hey! Cafe - 4332 Magazine St - New Orleans, LA

02/13/10 - Mango's Cafe - 403 Westheimer Rd - Houston, TX

02/14/10 - Emo's - 603 Red River St - Austin, TX

02/15/10 - Lounge On Elm St - 2810 Elm St - Dallas, TX

02/16/10 - Hi-Tone - 1913 Poplar Ave - Memphis, TN

02/17/10 - The End - 2219 Elliston Pl - Nashville, TN

02/18/10 - The Bottletree - 3719 3rd Ave - Birmingham, AL

02/19/10 - 529 Bar - 529 Flat Shoals Ave - Atlanta, GA

02/20/10 - Duke Coffeehouse - 106 Epworth Ln - Durham, NC

02/21/10 - Golden West - 1105 West 36th St - Baltimore, MD

02/22/10 - Terrordome - 624 N 48th St - Philadelphia, PA

02/23/10 - Death By Audio - 49 S 2nd St - Brooklyn, NY

03/28/10 - JJ's Bohemia - 231 East M L King Blvd - Chattanooga, TN

03/29/10 - Vino's - 923 West 7th - Little Rock, AR

03/30/10 - House of Blues - 2200 N Lamar St - Dallas, TX

03/31/10 - Emo's - 603 Red River - Austin, TX

04/01/10 - Mango's Cafe - 403 Westheimer Rd - Houston, TX

04/02/10 - One Eyed Jack's - 615 Toulouse St - New Orleans, LA

04/03/10 - Club Downunder - 600 W College Ave - Tallahassee, FL

04/04/10 - The Masquerade - 695 North Ave NE - Atlanta, GA

04/05/10 - Cat's Cradle - 300 East Main St - Carrboro, NC

04/06/10 - Tipsy - 409 Evans St - Greenville, NC

04/07/10 - Gallery Five - 200 W Marshall St - Richmond, VA

04/08/10 - 9:30 - 815 V St NW - Washington, DC

04/09/10 - The Fillmore (Irving Plaza) - 17 Irving Pl - New York, NY

04/10/10 - Paradise - 967 Commonwealth Ave - Boston, MA

04/24/10 - Mercury Lounge - 217 E Houston St - New York, NY

04/29/10 - Kearny Irish American Club - 95 Kearny Ave - Kearny, NJ

04/30/10 - NYU Strawberry Festival - LaGuardia Pl - New York, NY

05/04/10 - Vassar College - 124 Raymond Ave - Poughkeepsie, NY

05/15/10 - The Meatlocker - 8 Park Ave - Montclair, NJ

05/18/10 - Modern Formations Gallery - 4919 Penn Ave - Pittsburgh, PA

05/19/10 - The Summit - 2210 Summit St - Columbus, OH

05/20/10 - Majestic Cafe - 4120-4140 Woodward Ave - Detroit, MI

05/21/10 - Greek's Pizza - 211 N Walnut St - Bloomington, IN

05/22/10 - Empty Bottle - 1035 North Western Ave - Chicago, IL

05/25/10 - 7th St Entry - 701 North 1st Ave - Minneapolis, MN

05/26/10 - Gabe's - 330 East Washington St - Iowa City, IA

05/27/10 - Replay Lounge - 946 Massachusetts St - Lawrence, KS

05/29/10 - Hi Dive - 7 S Broadway - Denver, CO

05/30/10 - Visual Arts Collective - 3638 Osage St - Garden City, ID

06/01/10 - The Funhouse - 206 5th Ave N - Seattle, WA

06/02/10 - Backspace - 115 Northwest 5th Ave - Portland, OR

06/03/10 - Thee Parkside - 1600 17th St - San Francisco, CA

06/04/10 - Hemlock Tavern - 1131 Polk St - San Francisco, CA

06/05/10 - Spaceland - 1717 Silverlake Blvd - Los Angeles, CA

